Title,Description,Price,Link
"Honda City 2015-2017 i DTec V, 2015, Diesel",2015 - 180 km,"₹ 5,30,000",/item/cars-c84-used-honda-city-in-malappuram-up-hill-malappuram-iid-1821956644
"Honda City 2011-2013 1.5 S AT, 2015, Petrol","2015 - 117,215 km","₹ 4,75,000",/item/cars-c84-used-honda-city-in-golf-course-road-gurgaon-iid-1823433868
Premium Car at affordable price,"2010 - 83,500 km","₹ 6,75,000",/item/cars-c84-used-audi-a4-in-sarjapura-bengaluru-iid-1819200180
"Honda City 2014-2015 i VTEC SV, 2015, Petrol","2015 - 90,000 km","₹ 5,65,000",/item/cars-c84-used-honda-city-in-gandhipuram-coimbatore-iid-1818706292
"Honda Jazz [2020-2023] 1.2 VX i-VTEC MT, 2021, Petrol","2021 - 27,887 km","₹ 4,80,000",/item/cars-c84-used-honda-jazz-in-sanjam-colony-patna-iid-1816714853
"Honda City 2014-2015 i VTEC SV, 2016, Petrol","2016 - 750,000 km","₹ 5,50,000",/item/cars-c84-used-honda-city-in-model-town-phase-2-bathinda-iid-1819507439
"Honda Amaze 1.5 SMT I DTEC, 2022, Diesel","2022 - 45,000 km","₹ 8,90,000",/item/cars-c84-used-honda-amaze-in-karunagappally-kerala-iid-1819505894
"Honda Amaze 2013-2016 VX O i VTEC, 2015, Petrol","2015 - 56,000 km","₹ 2,91,000",/item/cars-c84-used-honda-amaze-in-ashok-vihar-delhi-iid-1822271499
"Honda City i-VTEC CVT V, 2019, Petrol","2019 - 50,000 km","₹ 8,89,999",/item/cars-c84-used-honda-city-in-nungambakkam-mahalinga-puram-chennai-iid-1819506614
"Honda Amaze V CVT Petrol, 2019, Petrol","2019 - 37,400 km","₹ 6,15,000",/item/cars-c84-used-honda-amaze-in-kempapura-bengaluru-iid-1821752733
Honda Brio 2012 Petrol 105780 Km Driven,"2012 - 105,780 km","₹ 1,40,000",/item/cars-c84-used-honda-brio-in-harswara-najibabad-iid-1824963601
"Honda City 2008-2011 1.5 S MT, 2011, Petrol","2011 - 74,000 km","₹ 2,80,000",/item/cars-c84-used-honda-city-in-shillong-cantt-shillong-iid-1822855750
"Honda City 2014-2015 V AT, 2016, Petrol","2016 - 70,000 km","₹ 5,50,000",/item/cars-c84-used-honda-city-in-rajouri-garden-delhi-iid-1820629729
"Honda City S MT, 2013, Petrol","2013 - 72,000 km","₹ 4,20,000",/item/cars-c84-used-honda-city-in-palayapalayam-erode-iid-1794374708
"Honda City V Petrol CVT, 2022, Petrol","2022 - 29,000 km","₹ 10,90,000",/item/cars-c84-used-honda-city-in-kalavasal-madurai-iid-1823048944
"Honda Jazz VX CVT, 2019, Petrol","2019 - 53,000 km","₹ 7,45,000",/item/cars-c84-used-honda-jazz-in-periyar-madurai-iid-1825343563
"Honda Amaze 2013-2016 S i-Vtech, 2015, Petrol","2015 - 65,000 km","₹ 2,95,000",/item/cars-c84-used-honda-amaze-in-patel-nagar-delhi-iid-1819507547
"Honda Amaze S 1.2 Petrol MT, 2020, Petrol","2020 - 54,000 km","₹ 5,31,000",/item/cars-c84-used-honda-amaze-in-rajouri-garden-delhi-iid-1819505888
"Honda Amaze 1.5 E i-DTEC, 2022, Diesel","2022 - 64,000 km","₹ 5,40,000",/item/cars-c84-used-honda-amaze-in-roorkee-uttaranchal-iid-1822271548
"Honda City SV CVT, 2016, Petrol","2016 - 40,000 km","₹ 5,48,999",/item/cars-c84-used-honda-city-in-kirti-nagar-delhi-iid-1803812861
"Honda City 2011-2013 S, 2014, Petrol","2014 - 86,000 km","₹ 3,49,000",/item/cars-c84-used-honda-city-in-lokhandwala-complex-mumbai-iid-1817397069
"Honda City 2015-2017 i VTEC SV, 2014, Petrol","2014 - 92,000 km","₹ 3,95,000",/item/cars-c84-used-honda-city-in-mohabbey-wala-dehradun-iid-1825062946
REQUIRED CAR WASHING HELPERS,₹ 12000 - 15000 | Monthly,,/item/other-jobs-c65-full-time-in-anand-nagar-hosur-iid-1797161289
Rainbow Car rentals,,,/item/tours-travel-c356-taxi-services-in-thirumala-thiruvananthapuram-iid-1794761229
"Honda Elevate ZX MT, 2023, Petrol","2023 - 32,000 km","₹ 15,25,000",/item/cars-c84-used-honda-elevate-in-t-nagar-drivers-colony-chennai-iid-1820629886
"Honda BR-V i-DTEC S MT, 2018, Diesel","2018 - 78,000 km","₹ 7,70,000",/item/cars-c84-used-honda-brv-in-parrys-chennai-iid-1820629987
"Honda Brio, 2013, Petrol","2013 - 76,200 km","₹ 1,65,000",/item/cars-c84-used-honda-brio-in-defence-colony-delhi-iid-1825846021
"Honda Amaze S (O) i-VTEC, 2014, Petrol","2014 - 80,000 km","₹ 3,25,000",/item/cars-c84-used-honda-amaze-in-sector-37d-chandigarh-iid-1822854973
"Honda Amaze 2013-2016 S i-Dtech, 2015, Diesel","2015 - 78,000 km","₹ 3,40,000",/item/cars-c84-used-honda-amaze-in-transport-nagar-jaipur-iid-1807801108
"Honda City VX Petrol MT, 2022, Petrol","2022 - 42,000 km","₹ 9,00,000",/item/cars-c84-used-honda-city-in-vasant-kunj-delhi-iid-1817942863
"Honda CR-V 2.4 Automatic, 2014, Petrol","2014 - 72,586 km","₹ 5,50,000",/item/cars-c84-used-honda-crv-in-peera-garhi-delhi-iid-1822855915
"Honda Jazz SV MT i-VTEC, 2016, Petrol","2016 - 47,000 km","₹ 3,64,000",/item/cars-c84-used-honda-jazz-in-chirag-delhi-delhi-iid-1822272985
"Honda City 1997-2006 1.5 EXI AT, 2011, Petrol","2011 - 109,000 km","₹ 3,90,000",/item/cars-c84-used-honda-city-in-chinniyampalayam-coimbatore-iid-1810831659
NEW T PERMIT CAR ERTIGA VXI CNG,,"₹ 2,95,511",/item/commercial-other-vehicles-c85-taxi-cabs-used-maruti-suzuki-in-goregaon-east-mumbai-iid-1716365723
CNG CAR T PERMIT WAGON R,,"₹ 1,10,000",/item/commercial-other-vehicles-c85-taxi-cabs-used-maruti-suzuki-in-versova-mumbai-iid-1785881286
"Honda City 2011-2013 1.5 V MT Sunroof, 2014, Petrol","2014 - 73,000 km","₹ 4,51,000",/item/cars-c84-used-honda-city-in-jodhpur-ahmedabad-iid-1818457550
"Honda Civic 1.8 V MT, 2010, Petrol","2010 - 60,060 km","₹ 2,40,000",/item/cars-c84-used-honda-civic-in-somalwada-nagpur-iid-1794245093
"Honda City ZX VTEC Plus, 2019, Petrol","2019 - 41,500 km","₹ 8,30,000",/item/cars-c84-used-honda-city-zx-in-murali-nagar-visakhapatnam-iid-1824143132
Wanted New Car Loan Manager,₹ 20000 - 29000 | Monthly,,/item/sales-marketing-c62-full-time-in-kadappakada-kollam-iid-1825845839
"Honda City 2014-2015 i DTEC VX, 2014, Diesel","2014 - 93,500 km","₹ 4,60,000",/item/cars-c84-used-honda-city-in-murali-nagar-visakhapatnam-iid-1825329534
"Honda City V MT Sunroof, 2015, Petrol","2015 - 70,000 km","₹ 4,50,000",/item/cars-c84-used-honda-city-in-ashram-delhi-iid-1824637198
All types of scrap cars buyer expiry valid any,,"₹ 19,000",/item/spare-parts-c1585-all-types-of-scrap-cars-buyer-expiry-valid-any-in-tarnaka-hyderabad-iid-1806503869
"Honda Civic 1.8 S MT, 2010, Petrol","2010 - 75,000 km","₹ 2,50,000",/item/cars-c84-used-honda-civic-in-sector-22b-chandigarh-iid-1825372866
"Honda City 2011-2013 S, 2014, Petrol","2014 - 48,000 km","₹ 4,90,000",/item/cars-c84-used-honda-city-in-lig-colony-indore-iid-1825475033
Well maintained car,"2020 - 89,000 km","₹ 4,15,000",/item/cars-c84-used-maruti-suzuki-baleno-in-dwarka-sector-14-delhi-iid-1825845891
Honda Brio 1000 Electric 3000 Km Driven,"2025 - 3,000 km","₹ 1,40,000",/item/cars-c84-used-honda-brio-in-jagannath-pur-egra-iid-1825845873
3BHK 87 Sq Yards Fully furnished flat with Lift and Car parking,3 BHK - 2 Bathroom - 850 sqft,"₹ 39,00,000",/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-850-sq-ft-in-uttam-nagar-delhi-iid-1809337984
Honda City 2014,"2014 - 90,000 km","₹ 4,80,000",/item/cars-c84-used-honda-city-in-jayadev-vihar-bhubaneshwar-iid-1825845833
"Honda City ZX, 2019, Petrol","2019 - 48,500 km","₹ 8,30,000",/item/cars-c84-used-honda-city-zx-in-nad-visakhapatnam-iid-1825330874
"Honda City 2014-2015 i VTEC SV, 2016, Petrol","2016 - 85,000 km","₹ 5,50,000",/item/cars-c84-used-honda-city-in-ferozepur-road-area-ludhiana-iid-1815983888
"Honda City S MT, 2012, Petrol","2012 - 72,000 km","₹ 4,25,000",/item/cars-c84-used-honda-city-in-trimulgherry-hyderabad-iid-1817393566
"Honda City i-DTEC V, 2017, Petrol","2017 - 100,000 km","₹ 5,70,000",/item/cars-c84-used-honda-city-in-murali-nagar-visakhapatnam-iid-1825359047
"Honda WR-V i-VTEC VX, 2017, Petrol","2017 - 57,561 km","₹ 5,65,000",/item/cars-c84-used-honda-wrv-in-narmada-nagar-bilaspur-iid-1818098715
"Honda Brio 1.2 S MT, 2018, Petrol","2018 - 42,000 km","₹ 3,95,000",/item/cars-c84-used-honda-brio-in-nandanvan-nagpur-iid-1823867407
rent for car,₹ 15000 - 25000 | Monthly,,/item/driver-c2206-part-time-in-sargasan-ahmedabad-iid-1824780750
"Honda Amaze 2013-2016 VX i-Vtech, 2014, Petrol","2014 - 58,621 km","₹ 2,70,000",/item/cars-c84-used-honda-amaze-in-narmada-nagar-bilaspur-iid-1823853108
"Honda City V Petrol CVT, 2019, Petrol","2019 - 38,962 km","₹ 7,50,000",/item/cars-c84-used-honda-city-in-borivali-west-mumbai-iid-1825845623
Honda City 2011 CNG & Hybrids 89000 Km Driven,"2011 - 89,000 km","₹ 2,25,000",/item/cars-c84-used-honda-city-in-dadar-west-mumbai-iid-1825362573
Honda City ZX 2021 Petrol 49000 Km Driven,"2021 - 49,000 km","₹ 7,50,000",/item/cars-c84-used-honda-city-zx-in-bhojowal-jalandhar-iid-1825845501
2bhk 1floor vyttla janatha road 15000rs family car parking,2 BHK - 2 Bathroom - 1000 sqft,"₹ 15,000",/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-vytila-kochi-iid-1822606613
"2 BHK Flat with Double Car parking in Electronics City, Bangalore",2 BHK - 2 Bathroom - 1200 sqft,"₹ 75,00,000",/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1200-sq-ft-in-basapura-bengaluru-iid-1823863084
"Honda Amaze 2013-2016 S i-Dtech, 2015, Diesel","2015 - 84,000 km","₹ 3,90,000",/item/cars-c84-used-honda-amaze-in-nurpur-himachal-pradesh-iid-1800108266
Car sell 425000,2018 - 18 km,"₹ 4,25,000",/item/cars-c84-used-maruti-suzuki-new-gen-swift-in-prikarti-vihar-bulandshahr-iid-1820709169
"Honda Brio 2013-2016 V MT, 2014, CNG & Hybrids","2014 - 43,870 km","₹ 3,00,000",/item/cars-c84-used-honda-brio-in-chembur-mumbai-iid-1825571761
G+1 with 2 car parking and 1bhk ground floor 2bhk 1st floor independe,2 BHK - 3 Bathroom - 1200 sqft,"₹ 2,20,00,000",/item/for-sale-houses-apartments-c1725-2-bhk-builder-floors-1200-sq-ft-in-peerzadiguda-hyderabad-iid-1825845450
Honda City Hybrid eHEV 2015 Petrol 48000 Km Driven,"2015 - 48,000 km","₹ 4,50,000",/item/cars-c84-used-honda-city-hybrid-ehev-in-sector-86-gurgaon-iid-1825845411
3bhk independent house at mamangalam palaravatom car parking available,3 BHK - 3 Bathroom - 1500 sqft,"₹ 24,000",/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1500-sq-ft-in-mamangalam-kochi-iid-1821430527
Toys cars hotweels car no box,,₹ 700,/item/kids-furniture-c231-toys-cars-hotweels-car-no-box-in-khairpada-navghar-manikpur-iid-1825844608
Scrap car buyer,,"₹ 49,999",/item/spare-parts-c1585-other-spare-parts-in-ashok-vihar-delhi-iid-1825844999
"Honda WR-V Exclusive Petrol, 2017, CNG & Hybrids","2017 - 61,000 km","₹ 5,75,000",/item/cars-c84-used-honda-wrv-in-panchavati-nashik-iid-1825845301
"Honda City 2015-2017 i VTEC SV, 2016, Diesel","2016 - 66,779 km","₹ 6,70,000",/item/cars-c84-used-honda-city-in-vijay-nagar-amritsar-iid-1825845248
"Honda WR-V i-VTEC S, 2017, Petrol","2017 - 67,000 km","₹ 4,19,000",/item/cars-c84-used-honda-wrv-in-esplanade-kolkata-iid-1813923750
2600 Sqft 36 car parkings Restaurant office space for rent kakkanad,,"₹ 1,82,000",/item/for-rent-shops-offices-c1731-2700-sq-ft-in-kakkanad-kochi-iid-1823618611
3bhk at kadavanthra 18000rs family  10th floor car parking,3 BHK - 2 Bathroom - 1200 sqft,"₹ 18,000",/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1200-sq-ft-in-kadavanthra-kochi-iid-1821173369
"Honda Brio 1.2 S MT, 2018, Petrol","2018 - 44,000 km","₹ 3,95,000",/item/cars-c84-used-honda-brio-in-besa-nagpur-iid-1825394125
Honda City 2014 Diesel 66000 Km Driven,"2014 - 66,000 km","₹ 4,85,000",/item/cars-c84-used-honda-city-in-kabir-chaura-varanasi-iid-1825845147
Honda Amaze 3rd gen showroom condition,"2025 - 18,280 km","₹ 9,30,000",/item/cars-c84-used-honda-amaze-in-pura-gulab-gopi-ganj-iid-1825845132
Car good condition sale,,"₹ 4,000",/item/kids-furniture-c231-car-good-condition-sale-in-lam-guntur-iid-1820214914
"Honda City i-VTEC V, 2017, Petrol","2017 - 65,000 km","₹ 5,27,000",/item/cars-c84-used-honda-city-in-andheri-east-mumbai-iid-1821947810
Alto k10 (old model) car cover,,,/item/other-services-c625-alto-k10-old-model-car-cover-in-nobel-high-society-junagadh-iid-1825845053
"Honda BR-V i-DTEC VX MT, 2018, Diesel","2018 - 80,000 km","₹ 7,50,000",/item/cars-c84-used-honda-brv-in-jail-road-nashik-iid-1825844955
"Honda Amaze, 2022, Petrol","2022 - 16,300 km","₹ 8,95,000",/item/cars-c84-used-honda-amaze-in-vytila-kochi-iid-1824235067
Driver Wanted to Drive Everest Fleet Cars on Uber,₹ 25000 - 30000 | Monthly,,/item/driver-c2206-full-time-in-purba-putiari-kolkata-iid-1822724477
"Honda City 2014-2015 i DTEC SV, 2014, Diesel","2014 - 58,123 km","₹ 3,99,999",/item/cars-c84-used-honda-city-in-chooti-baradari-phase-1-jalandhar-iid-1824339842
"Honda City, 2020, Petrol","2020 - 47,000 km","₹ 7,95,000",/item/cars-c84-used-honda-city-in-mattuthavani-madurai-iid-1825844921
"Honda Amaze VX Diesel, 2013, Diesel","2013 - 70,000 km","₹ 3,20,000",/item/cars-c84-used-honda-amaze-in-madhapur-hyderabad-iid-1825844910
"Honda Amaze 2013-2016 S i-Vtech, 2013, Petrol","2013 - 64,000 km","₹ 2,40,000",/item/cars-c84-used-honda-amaze-in-indraprastha-extension-delhi-iid-1825844899
Children Car,,"₹ 10,000",/item/sports-equipment-c100-children-car-in-bill-road-vadodara-iid-1825844879
"Honda WR-V i-DTEC S, 2017, Diesel","2017 - 69,000 km","₹ 5,59,999",/item/cars-c84-used-honda-wrv-in-kosapalayam-puducherry-iid-1825844882
Well Maintained single handed car Ritz Petrol silver for sale,"2011 - 86,231 km","₹ 2,25,000",/item/cars-c84-used-maruti-suzuki-ritz-in-agrasen-chowk-bilaspur-iid-1823332942
Car washing machine sell karna he jisko lena ho uhi coll kare,,,/item/other-services-c625-car-washing-machine-sell-karna-he-jisko-lena-ho-uhi-coll-kare-in-mag-colony-raipur-iid-1825844461
Honda City 2009 CNG & Patrol Good Condition,"2009 - 167,888 km","₹ 1,70,000",/item/cars-c84-used-honda-city-in-gulzar-nagar-bareilly-iid-1825844749
"Honda City VX Petrol CVT, 2023, Petrol","2023 - 23,000 km","₹ 11,25,000",/item/cars-c84-used-honda-city-in-netaji-subhash-place-delhi-iid-1820904802
"Honda City i-VTEC CVT ZX, 2018, Petrol","2018 - 55,000 km","₹ 6,50,000",/item/cars-c84-used-honda-city-in-new-kangra-kangra-iid-1825844706
Child Car Seat (Imported from Germany),,"₹ 3,000",/item/kids-furniture-c231-child-car-seat-imported-from-germany-in-kokapet-hyderabad-iid-1823609748
"Honda Amaze S i-DTEC, 2018, Diesel","2018 - 70,047 km","₹ 5,19,233",/item/cars-c84-used-honda-amaze-in-kaveri-layout-bengaluru-iid-1825844657
Honda Elevate 2024 Petrol Well Maintained,"2024 - 10,900 km","₹ 13,40,000",/item/cars-c84-used-honda-elevate-in-jindran-kalanaur-iid-1825844555
Wegen r car company fitted,"2007 - 92,000 km","₹ 90,000",/item/cars-c84-used-maruti-suzuki-wagon-r-in-sardar-nagar-lucknow-iid-1825844628
Car speaker pioneer original with box fitting,,"₹ 2,800",/item/spare-parts-c1585-audio-other-accessories-in-jp-nagar-phase-6-bengaluru-iid-1825369523
New flats bna hua h lift car parking sb hai,3 BHK - 2 Bathroom - 1830 sqft,"₹ 35,00,000",/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1830-sq-ft-in-jajmau-kanpur-iid-1825844552
Honda City ZX 2007,"2007 - 700,000 km","₹ 75,000",/item/cars-c84-used-honda-city-zx-in-dayal-nagar-visakhapatnam-iid-1825844487
Urjent Looking for Car mechanic,₹ 1 - 1 | Monthly,,/item/other-jobs-c65-full-time-in-adityapur-industrial-area-phase-6-jamshedpur-iid-1823873939
All types of scrap cars buyer totally accidentally,,"₹ 25,000",/item/spare-parts-c1585-other-spare-parts-in-safil-guda-hyderabad-iid-1806329489
"Honda City V MT Exclusive, 2018, Petrol","2018 - 70,000 km","₹ 5,95,000",/item/cars-c84-used-honda-city-in-mahanagar-lucknow-iid-1823292413
Car subwoofer,,"₹ 3,000",/item/tvs-video-audio-c1523-car-subwoofer-in-madeshwara-nagar-bengaluru-iid-1825844502
"Honda Elevate VX MT, 2023, Petrol","2023 - 13,510 km","₹ 12,83,613",/item/cars-c84-used-honda-elevate-in-devarabisanahalli-bengaluru-iid-1825844350
"Honda City 2008-2011 1.5 S MT, 2012, Petrol","2012 - 53,538 km","₹ 3,06,000",/item/cars-c84-used-honda-city-in-vidyavihar-east-mumbai-iid-1825844340
"2010 HONDA JAZZ VMT TOP MODEL PETROL FOR JUST RS 1,80,000/- OFFER..","2010 - 90,000 km","₹ 1,80,000",/item/cars-c84-used-honda-jazz-in-chembur-mumbai-iid-1825844253
"Honda City ZX Petrol MT, 2022, Petrol","2022 - 32,000 km","₹ 9,10,000",/item/cars-c84-used-honda-city-in-esplanade-kolkata-iid-1822182311
"Honda Mobilio S i-VTEC, 2016, Petrol","2016 - 38,000 km","₹ 3,39,000",/item/cars-c84-used-honda-mobilio-in-behala-kolkata-iid-1822188437
"Honda Amaze 2013-2016 S i-Vtech, 2014, Petrol","2014 - 27,000 km","₹ 3,80,000",/item/cars-c84-used-honda-amaze-in-adi-udupi-udupi-iid-1823410571
"Honda Amaze VX (O) i-VTEC, 2022, Petrol","2022 - 15,000 km","₹ 7,99,999",/item/cars-c84-used-honda-amaze-in-banjara-hills-hyderabad-iid-1817395937
"Honda Accord, 2008, Petrol","2008 - 74,000 km","₹ 1,85,000",/item/cars-c84-used-honda-accord-in-bandra-west-mumbai-iid-1813280151
"Honda City, 2009","2009 - 87,000 km","₹ 1,99,000",/item/cars-c84-used-honda-city-in-andheri-west-mumbai-iid-1811584998
HONDA BRV DIESEL 7 SEATER,"2017 - 118,000 km","₹ 7,25,000",/item/cars-c84-used-honda-brv-in-as-rao-nagar-hyderabad-iid-1824846507
"Honda Jazz V MT Privilege, 2017, Petrol","2017 - 81,230 km","₹ 4,50,000",/item/cars-c84-used-honda-jazz-in-gms-road-dehradun-iid-1812267367
"Honda City 1.5 VX i-VTEC MT, 2022, Petrol","2022 - 184,000 km","₹ 8,50,000",/item/cars-c84-used-honda-city-in-dwarka-delhi-iid-1817832492
"Honda City i-DTEC VX, 2018, Diesel","2018 - 151,000 km","₹ 6,90,000",/item/cars-c84-used-honda-city-in-coimbatore-old-city-coimbatore-iid-1818982689
Honda Jazz 2011 MH 20,"2011 - 100,000 km","₹ 2,26,000",/item/cars-c84-used-honda-jazz-in-aurangabad-maharashtra-iid-1825844037
"Honda Amaze 1.2 VX (O) AT i-VTEC, 2025, Petrol","2025 - 2,000 km","₹ 8,70,000",/item/cars-c84-used-honda-amaze-in-itpl-road-bengaluru-iid-1824847269
Skoda Laura 2012 2.0 TDI CT Diesel Car for sale,"2012 - 84,000 km","₹ 4,20,000",/item/cars-c84-used-skoda-laura-in-tolichowki-hyderabad-iid-1820006301
Bmw - Audi - Mercedes - Jaguar ( Premium Car Parts Alloys Tyres ),,"₹ 3,232",/item/spare-parts-c1585-audio-other-accessories-in-vidya-nagar-agra-iid-1814682730
"Honda WR-V i-VTEC S, 2018, Petrol","2018 - 119,256 km","₹ 4,90,000",/item/cars-c84-used-honda-wrv-in-pattambi-palakkad-iid-1823829621
"Honda City V AT Sunroof I-VTEC, 2017, Petrol","2017 - 39,000 km","₹ 5,15,000",/item/cars-c84-used-honda-city-in-gariahat-kolkata-iid-1824943250
"Honda City, 2020, Petrol","2020 - 47,000 km","₹ 8,49,000",/item/cars-c84-used-honda-city-in-thanjavur-tamil-nadu-iid-1815775976
"Honda Amaze, 2014, Petrol","2014 - 62,000 km","₹ 4,65,000",/item/cars-c84-used-honda-amaze-in-parisutham-nagar-thanjavur-iid-1815775636
"Honda Amaze 1.5 SMT I DTEC, 2015, Diesel","2015 - 107,000 km","₹ 3,45,000",/item/cars-c84-used-honda-amaze-in-subhash-nagar-hyderabad-iid-1823913277
2 Car Pakring - 15 Cent  - BUNGALOW for Sale in Thrissur Town!,4 BHK - 4 Bathroom - 3100 sqft,"₹ 2,95,00,000",/item/for-sale-houses-apartments-c1725-4-bhk-houses-villas-3100-sq-ft-in-naikkanal-thrissur-iid-1823521757
Car Driver - Driver Wanted: Drive at Everest & Earn More with Uber!,₹ 30000 - 40000 | Monthly,,/item/driver-c2206-full-time-in-begur-bengaluru-iid-1825844019
"Honda Mobilio 1.5 S i-VTEC MT, 2015, Petrol","2015 - 88,000 km","₹ 4,25,000",/item/cars-c84-used-honda-mobilio-in-nattika-thrissur-iid-1823729645
"Honda City i-VTEC CVT V, 2019, Petrol","2019 - 32,456 km","₹ 6,24,500",/item/cars-c84-used-honda-city-in-ekta-vihar-navi-mumbai-iid-1822316661
"Honda Amaze 1.5 V CVT ( I-DTEC) Automatic, 2018, Diesel","2018 - 85,828 km","₹ 5,15,000",/item/cars-c84-used-honda-amaze-in-navalur-chennai-iid-1822282414
"Honda Amaze S Petrol, 2019, CNG & Hybrids","2019 - 62,000 km","₹ 4,75,000",/item/cars-c84-used-honda-amaze-in-malviya-nagar-delhi-iid-1822853233
"Honda Accord 2.4 Inspire Automatic, 2013, CNG & Hybrids","2013 - 68,000 km","₹ 3,99,000",/item/cars-c84-used-honda-accord-in-jawalaheri-delhi-iid-1820846716
"Honda City 2015-2017 i VTEC VX Option, 2017, Petrol","2017 - 56,000 km","₹ 7,25,000",/item/cars-c84-used-honda-city-in-jangpura-delhi-iid-1817394513
"Honda Amaze S MT i-VTEC, 2019, Petrol","2019 - 70,000 km","₹ 4,99,000",/item/cars-c84-used-honda-amaze-in-jagatpura-jaipur-iid-1822854512
"Honda Brio 2013-2016 VX AT, 2014, Petrol","2014 - 84,000 km","₹ 2,79,000",/item/cars-c84-used-honda-brio-in-karol-bagh-delhi-iid-1825625507
"Honda WR-V 1.5 VX i-DTEC, 2021, Diesel","2021 - 40,000 km","₹ 9,90,000",/item/cars-c84-used-honda-wrv-in-kozhikode-vadakara-iid-1825341725
"Honda WR-V 1.5 VX i-DTEC, 2018, Diesel","2018 - 35,000 km","₹ 8,95,000",/item/cars-c84-used-honda-wrv-in-kozhikode-vadakara-iid-1825341314
"Honda Brio, 2012, Petrol","2012 - 74,000 km","₹ 2,50,000",/item/cars-c84-used-honda-brio-in-madhapur-hyderabad-iid-1823913205
"Honda City 1.5 ZX i-DTEC MT, 2019, Diesel","2019 - 93,280 km","₹ 9,85,000",/item/cars-c84-used-honda-city-in-lokmanya-nagar-nagpur-iid-1820982304
Honda Civic 2019 Petrol Well Maintained,"2019 - 64,000 km","₹ 12,50,000",/item/cars-c84-used-honda-civic-in-shri-ram-society-karamsad-iid-1815941019
